Stkcd,Empnum,Vmntw3,A001000000,B001100000,B002000000,C001000000,T40801,T60200
603681,1802,2054300,3395112649.1,2414078217.26,175501135.23,215180894.16,0.1127,1.0535
603682,464,1768400,1871335564.78,739262605.41,156312636.19,206626097.49,0.1011,0.3308
603683,1430,2930900,1650887900.32,1038740713.86,152782297.44,77760043.45,0.1588,1.1706
603685,1572,1795800,1773324929.27,1172811371.58,109882195.97,-22334378.52,0.099,0.6502
603686,957,2584900,5467120986.12,5443356242.64,544201805.82,879844078.94,0.1754,1.3093
603687,1823,1672100,2881089668.66,1350979471.84,272241569.57,164611489.01,0.1501,0.6627
603688,1115,2159500,2173522900.93,645566605.15,188109814.89,32739493.57,0.0966,0.5329
603690,1286,589900,5956662795.43,1397056129.25,260750265.52,-280927495.31,0.0825,0.8471
603697,1486,1850300,1921211975.28,1092699479.78,225828418.33,120241317.26,0.1278,0.7415
603699,3495,6455000,5349479144.22,3632231615.17,533768780.39,574820726.91,0.1837,0.7117
603700,1190,1884800,2059923483,1590152353.41,272695494.44,126758759.57,0.1875,1.3417
603701,429,2782200,992032480.08,599760701.76,63626859.1,19382410.86,0.0885,0.2422
603703,1426,1380500,2154181619.28,747630747.87,21331735.75,55056866.41,0.0178,0.0714
603706,874,1065700,2658843418.93,804633153.87,112217776.8,313090341.79,0.0662,0.5925
603707,953,2972500,7720360460.3,2914880930.5,796654693.83,-565848347.4,0.2128,0.8528
603708,27049,4450000,9798250439.71,16678468932.04,402228965.34,727388230.44,0.1248,0.6611
603709,1947,2065700,1077985926.34,1162418644.95,41718371.1,37944852.45,0.0654,0.5215
603711,4323,1083110,4737859938.11,3760849721.52,358356333.16,335407516.09,0.1263,0.857
603713,2661,2927900,3678240679.85,3426952178.37,289788566.67,338555756.01,0.1628,1.8728
603716,1390,2623200,3906340123.35,2125471603.95,82034686.68,9944111.48,0.0455,0.4001
603717,428,3833100,3317592718.07,582542897.16,-158597144.13,-86511975.38,-0.1166,-0.6559
603718,518,594500,1786746012.15,259128542.31,-32152437.54,167682489.8,-0.0334,-0.0499
603719,11226,4753900,4183883908.62,7894076441.6,344311096.65,330206908.43,0.1651,0.8586
603722,210,2292300,754229129.74,538046840.26,51556674.39,49764782.27,0.0883,0.5863
603725,1111,1343600,1474268907.42,869214571.12,36978968.45,66001118.15,0.0449,0.1801
603726,2841,2067200,1773214929,1401197550.73,111492312.43,104295972.39,0.1099,0.6005
603727,1248,4499600,4244064045.6,2579330318.63,131616119.34,383295353.74,0.0539,0.562
603728,3101,2572900,2758356144.69,2212835491.07,201826930.91,330327491.52,0.0925,0.4852
603729,208,1466800,1048522254.83,621431825.2,-22027856.48,-29063188.53,-0.028,-0.236
603730,8038,3014900,5485493387.39,3950110005.63,393141523.3,764838026.92,0.1008,0.6784
603733,3517,1292600,7963596698.01,4843100792.48,719013675.69,301929633.17,0.1337,1.0185
603737,8094,5515800,9094152554.86,8200228400.23,535063208.63,457353767.86,0.2017,1.9898
603738,1965,1131800,1378222891.78,630925077.55,39828710.53,149552116.8,0.0444,0.2298
603739,1430,2401800,1451467768.17,960249354.36,122304776.52,172997190.71,0.1097,0.7908
603755,372,2406200,711492033.4,263276257.14,81250497.71,68897231.15,0.1334,0.8239
603757,1823,1636300,1595907051.24,1413131464.92,213404875.94,155723113.44,0.1692,1.2734
603759,1148,2663100,4393931301.96,850316022.2,180199779.46,315588630.48,0.1299,0.7701
603766,8665,2771900,13126443704.39,10437055350.27,462230455.16,1191289509.83,0.0612,0.2251
603767,1089,1861300,1996300624.48,1051857217.4,55246804.56,45842903.19,0.0377,0.1805
603768,3021,1587900,3624927039.34,2297081707.05,75169205.39,-691887.99,0.0426,0.3685
603773,2512,2584000,2012544176.06,604157536.52,14110621.93,108632381.38,0.0087,0.1492
603776,5301,1095500,4938955846.41,872955791.96,493894707.92,352165839.2,0.145,2.633
603777,7937,2383900,2707636232.51,4026230937.63,-65195382.69,95909480.97,-0.0392,-0.1934
603778,193,1104800,2163147937.23,258496249.51,-80646929.18,-74448002.59,-0.0525,-0.1255
603779,949,844204.71,1890180065.1,392499745.83,-219761772.64,49134716.34,-0.1909,-0.6604
603786,2027,2845600,4710083782.72,2913727679.99,573970077.89,521407073.76,0.1451,1.4346
603787,2773,2100500,3230288958.36,5068316748.01,104444585.62,371183325.94,0.1,0.512
603788,1380,1191700,2261983128.11,891428384.14,179327948.79,176935691.51,0.0939,0.8039
603789,569,2102700,1401112773.67,248422596.47,-297847549.19,-83864050.36,-0.3399,-1.1456
603790,565,2475200,1412263791.98,803846955.14,50523579.38,90923966.18,0.0416,0.264
603797,629,952600,7980003432.22,603654541.14,238264944.1,486331187.36,0.1268,0.5297
603798,328,3092400,1167295103.34,919928685.17,104206189.23,191096919.04,0.1036,0.521
603799,8079,13152800,26945318022.98,21186843965.75,1125653177.92,1859769119.88,0.0904,0.9863
603800,1012,1046600,1577864917.69,847683914.13,6261772.85,-32477689.72,0.0069,0.0301
603801,4379,2545700,4128241987.06,3840444626.7,395444122.8,649064563.04,0.1775,1.7706
603803,1786,5598000,3684142429.47,1952143218.14,135985769.32,3599120.08,0.0507,0.323
603806,2525,1586600,11544851528.69,8393142040.58,1565273255.05,272341482.92,0.1734,2.034
603808,2654,2200000,3576511155.51,1962142551,440265707.53,215489558.63,0.1955,1.324
603809,2103,2732400,3284779663.54,1170791355.23,192829849.89,259541823.7,0.1009,0.8913
603810,1371,5848100,1996996595.29,1494085529.04,235683496.73,157462098.45,0.176,2.0277
603811,690,4381900,1206881405.82,758132059.06,164951420.68,177805369.28,0.1862,0.9878
603813,1235,1819400,672424931.77,460120061.27,-163732563.24,86713734.89,-0.3339,-1.8442
603815,908,2405900,5475696797.15,3179196760.12,101816335.58,-103003077.46,0.0856,0.204
603816,16250,4984900,13037960940.9,12665990727.49,866619136.61,2180405292.82,0.122,1.3703
603818,3931,2793300,7682310985.52,4278737933.65,119702114.18,618753040.54,0.0459,0.2054
603819,644,903000,1366667457.99,941074428.71,15076777.18,151218810.3,0.0202,0.0692
603822,563,1459700,2034707033.21,1230146035.65,40460827.29,-72254309.44,0.0468,0.5516
603823,1604,2474300,2990228872.41,2005080280.75,287573074,268027952.81,0.1436,0.9129
603825,2115,8547500,6903749563.66,9143765644.95,203700606.58,-405904961.75,0.1146,0.8912
603826,653,3861700,2268038398.08,749891528.58,161836851.68,161904403.3,0.1031,0.3458
603828,1166,1742000,5272150850.23,2657002804.19,23598501.84,-202395162.89,0.0145,0.0387
603829,965,1621000,1386822470.95,879563152.73,74812647.42,-92184144.76,0.0921,0.4676
603833,20022,3142100,18843631132.18,14739690238.09,2062629441.88,3889455693.03,0.173,3.429
603838,1480,1423700,1414170735.22,292627320.44,-4876469.19,56959425.28,-0.0046,-0.0152
603839,4790,3028700,4729296639.09,3594451914.33,239852096.47,368838893.35,0.0792,0.5995
603843,1586,3207100,7168193104.89,4891605145.27,130661367.12,287390978.29,0.0736,0.2333
603848,1264,4208700,2104407271.95,1160006310.07,267579697.61,148932505.71,0.1606,0.6673
603855,2026,1593900,3385516713.12,2282712179.03,271923628.4,344010523.44,0.1647,0.8053
603856,1421,2588700,2868433746.28,2392540785.3,318504504.44,-27096247.47,0.1625,1.2421
603859,849,1643600,1955766207.02,951907666.7,120596924.99,78519568.58,0.0836,0.8667
603861,2717,2653300,7250299136.62,3028376259.97,86273952.18,208203939.85,0.0299,0.1953
603863,324,988600,1612536007.91,498946845.24,76611254.27,64266019.7,0.0652,0.3721
603866,11877,1505320,5685107101.21,5963004180.87,882839001.61,1101366061.62,0.1827,1.298
603868,2996,4765800,3889241723.1,3567881031.09,636916936.7,979206546.33,0.2248,1.4622
603869,588,6989600,6410390123.58,1174809880.72,13957176.47,606599663.71,0.0035,0.0277
603871,489,2930600,3401637446.85,3281112616.81,361723215.41,254166810.13,0.1618,1.6478
603876,4982,3350000,13328792457.05,12426553866.08,-16236952.65,-744789346.88,-0.0043,-0.0374
603877,12081,20944900,8541361114.51,9386865187.73,706712011.19,1154360342.18,0.1812,1.4824
603878,1426,1625300,3430075103.75,2400893159.83,220437363.56,343887732.3,0.0917,0.5501
603879,153,975650,585304169.51,406386873.21,5353864.31,2877348.06,0.01,0.0192
603880,827,2312900,1072645455.8,1072399917.76,98283826.22,154122592.63,0.1402,0.4365
603882,10714,9778100,6639312967.4,8243763516.83,1573432348.93,1523107566.84,0.4059,3.4243
603883,27212,4380000,11284109040,13966699240,764484306,1447477850,0.1591,1.8704
603885,8990,3295000,32308473657.89,10101552077.97,-485483923.64,612652822.19,-0.0446,-0.2469
603887,1154,2508700,8585552594.89,3933403130.76,392539002.99,318743856.51,0.0968,1.0452
603889,3219,4933400,3269904934.26,2273166650.16,161035990.38,301469704.13,0.0625,0.3147
603890,4087,4489600,4281737886.22,3581699455.48,246791807.18,-10890048.1,0.1376,0.6402
